return,risk,sharpe
0.10268555131631968,0.35732687988406897,0.28737147160503274
0.10722888071954101,0.3473233965573481,0.30872921830889666
0.11177221012276232,0.33775924585994993,0.3309227252630357
0.11631553952598365,0.3286628127481769,0.3539053857459232
0.12085886892920499,0.3199983013423076,0.37768597027619905
0.1254021983324263,0.3117245730856505,0.40228525166019036
0.12994552773564763,0.303873675562877,0.4276300916653754
0.13448885713886896,0.29647910278746675,0.4536200220333178
0.1390321865420903,0.28957441840554593,0.4801259286218342
0.1435755159453116,0.2831878831005532,0.5069973841159418
0.14811884534853292,0.2773675455433454,0.5340164980671315
0.15266217475175425,0.2721447461172282,0.5609594781079991
0.15720550415497558,0.2675544640042181,0.5875644973447244
0.16174883355819691,0.26362975887865714,0.6135454291889948
0.16629216296141824,0.2604010835663344,0.638600119031598
0.17083549236463957,0.25789380133766854,0.6624257406674123
0.1753788217678609,0.2561316938070367,0.6847212820916532
0.17992215117108223,0.255124962496441,0.7052314654376173
0.18446548057430354,0.2560246555639525,0.7204988916711025
0.18900880997752487,0.2573539272760447,0.7344314189337742
0.1935521393807462,0.25876898884681987,0.7479727004510605
0.1980954687839675,0.26026844097666746,0.7611198193703644
0.20263879818718883,0.26185083392291514,0.7738711202533064
0.20718212759041016,0.2635146735290313,0.7862261513402402
0.2117254569936315,0.26525842719185755,0.7981856004917558
0.21626878639685282,0.26708052970520263,0.8097512261023495
0.22081211580007415,0.26897938900630225,0.8209257840008718
0.22535544520329548,0.2709533920137939,0.8317129508082441
0.2298987746065168,0.2730009121619072,0.8421172397774699
0.2344421040097381,0.2751203340184101,0.8521438622346615
0.23898543341295944,0.27731010180356985,0.861798513139787
0.24352876281618077,0.2795685185136579,0.8710879326145714
0.2480720922194021,0.28189354874653,0.8800204663160308
0.2526154216226234,0.28428382290403287,0.8886028724465974
0.25715875102584473,0.28673782019856014,0.8968428052070965
0.26170208042906606,0.2892537988499578,0.904748983313497
0.2662454098322874,0.291830238373495,0.912329754847189
0.2707887392355087,0.294465557902231,0.9195939286231108
0.27533206863873005,0.29715816565078995,0.9265505729440087
0.2798753980419514,0.2999065099461521,0.9332088126136466
0.2844187274451727,0.30270906992283453,0.9395778181264132
0.28896205684839404,0.3055643529621145,0.945666777054394
0.2935053862516154,0.3084708946878296,0.9514848606661603
0.2980487156548367,0.31142725976514213,0.9570411911905379
0.30259204505805803,0.3144320427008685,0.9623448121218539
0.30713537446127936,0.31748386876634327,0.967404661076875
0.3116787038645007,0.3205813944586345,0.9722295468544961
0.316222033267722,0.32372330795137977,0.9768281291479193
0.3207653626709433,0.3269083294345847,0.9812089010571674
0.32530869207416463,0.33013520932533197,0.9853801802569594
0.32985202147738596,0.33340236264502154,0.9893511817388778
0.3343953508806073,0.33670832759812364,0.9931306221796896
0.3389386802838286,0.34005207858935643,0.9967258006181096
0.34348200968704995,0.34343267549151646,1.0001436502670076
0.3480253390902713,0.3468481143079107,1.0033940642425276
0.35256866849349255,0.35029862164513,1.0064803190994631
0.35711199789671394,0.3537818739154577,1.009412929906217
0.36165532729993527,0.3572985843057542,1.0121935635503467
0.36619865670315654,0.3608458094052582,1.0148341678311876
0.3707419861063779,0.36442419021943595,1.017336379023406
0.3752853155095992,0.3680322270117072,1.0197077537388086
0.37982864491282053,0.37166912098917604,1.0219537310549998
0.38437197431604186,0.3753340338680792,1.0240797253444363
0.3889153037192632,0.3790261533698587,1.0260909445469177
0.3934586331224845,0.3827446924786556,1.0279923950726668
0.39800196252570585,0.3864894476208507,1.029787397756197
0.4025452919289272,0.39025845660313185,1.0314838413310548
0.4070886213321485,0.3940557404124722,1.033073698929076
0.41163195073536984,0.3978711960809541,1.034585953418995
0.4161752801385912,0.40171156630669846,1.0360052212707511
0.4207186095418125,0.4055757735502951,1.037336638376995
0.4252619389450338,0.4094630422678972,1.0385844265446549
0.4298052683482551,0.4133736551522469,1.0397500251678022
0.43434859775147644,0.41730750612454454,1.0408358138227354
0.43889192715469777,0.4212632836168074,1.041847092361189
0.4434352565579191,0.42523477010261246,1.0428010307127866
0.44797858596114043,0.4292293132182147,1.0436812495454937
0.45252191536436176,0.43324327726420886,1.044498412582167
0.4570652447675831,0.43727644918563957,1.045254656679538
0.4616085741708044,0.44132789615476886,1.0459537640668954
0.46615190357402575,0.4453974440167011,1.0465976171083424
0.4706952329772471,0.44948447988723844,1.0471890666732915
0.4752385623804684,0.4535885243258032,1.0477305683313858
0.47978189178368974,0.4577091195617827,1.0482244536509122
0.484325221186911,0.46184582234010557,1.0486729504944001
0.48886855059013234,0.4659982123049738,1.0490781674290865
0.4934118799933537,0.4701658553211007,1.0494421796248412
0.497955209396575,0.4743483570871659,1.0497669106611265
0.5024985387997963,0.4785467865001223,1.0500510148126716
0.5070418682030177,0.48276796195431526,1.0502806900243298
0.511585197606239,0.48701227818610027,1.0504564679799484
0.5161285270094603,0.4912791873518755,1.0505808922855644
0.5206718564126817,0.4955679494892218,1.0506568412047919
0.525215185815903,0.49987832975150964,1.0506860460964338
0.5297585152191243,0.5042092121887868,1.0506720274297
0.5343018446223456,0.508560573881951,1.0506159385182106
0.5388451740255669,0.5129317331635451,1.0505202528652275
0.5433885034287882,0.5173221855181525,1.0503870095664418
0.5479318328320095,0.5218377765891467,1.050004153423732
0.552475162235231,0.52666771411661,1.0490013863141552
